Data Check|EDC Table|Data Check Description|Category|Type|SQL_File_Ref
DC 2.04|Table IIID|The average number of encounters per visit is > 2.0 for inpatient (IP), emergency department (ED), or ED to inpatient (EI) encounters. A visit is defined as a unique combination of PATID, ENC_TYPE, ADMIT_DATE, and PROVIDERID in the ENCOUNTER table|Data Plausibility|Investigative|sql/checks/dc_2_04.sql
DC 2.07|Table IVE|The average number of principal diagnoses per known DX_ORIGIN per encounter is above threshold [2.0 for inpatient (IP) and ED to inpatient (EI))|Data Plausibility|Investigative|sql/checks/dc_2_07.sql
DC 2.08|Table IIIG|The monthly volume of encounter, diagnosis, procedure, vital, prescribing, medication administration, external medications, laboratory records, or patient-reported outcomes is an outlier. Outliers are defined as months with 0 records or a significant decrease compared to the average volume in the previous 12 months. Encounters, diagnoses, and procedures are limited to ambulatory (AV), telehealth (TH), emergency department (ED), ED to inpatient (EI), or inpatient (IP) settings.|Data Plausibility|Investigative|sql/checks/dc_2_08.sql
DC 2.09|Table IB|Less than 80% of patients with a face-to-face encounter during the past 5 years have at least 1 face-to-face diagnosis and 1 vital measurement. Face-to-face is defined as an encounter type of ambulatory visit (AV), emergency department (ED), emergency department admit to inpatient hospital stay (EI), inpatient hospital (IP), or observation stay (OS).|Data Plausibility|Investigative|sql/checks/dc_2_09.sql
DC 3.01|Table IVA|The average number of diagnoses records with known diagnosis types per encounter is below threshold [1.0 for ambulatory (AV), inpatient (IP), emergency department (ED), ED to inpatient (EI), or telehealth (TH) encounters].|Data Completeness|Investigative|sql/checks/dc_3_01.sql
DC 3.02|Table IVB|The average number of procedure records with known procedure types per encounter is below threshold [0.75 for ambulatory (AV) encounters, 0.75 for emergency department (ED) encounters, 1.00 for ED to inpatient (EI) encounters, and 1.00 for inpatient (IP) encounters].|Data Completeness|Investigative|sql/checks/dc_3_02.sql
DC 3.03|Table IVC|More than 10% of records have missing or unknown values for the following fields: DISCHARGE_DISPOSITION (IP/EI encounters only), DISPENSE_SUP, DX_SOURCE, SEX, code fields [DEATH_CAUSE_CODE, MEDADMIN_CODE, OBSCLIN_CODE, OBSGEN_CODE], code type fields [DX_TYPE, CONDITION_TYPE, MEDADMIN_TYPE, OBSCLIN_TYPE, OBSGEN_TYPE, PX_TYPE, VX_CODE_TYPE], date fields [BIRTH_DATE, DISCHARGE_DATE (IP/EI encounters only), EXT_RECORD_DATE, RX_ORDER_DATE, PX_DATE, VX_RECORD_DATE], ENCOUNTERID fields in selected tables [DIAGNOSIS, LAB_RESULT_CM, PRESCRIBING, MED_ADMIN, OBS_CLIN, PROCEDURES, and VITAL], and provenance fields [CONDITION_SOURCE, DEATH_CAUSE_SOURCE, DEATH_SOURCE, DISPENSE_SOURCE, DX_ORIGIN, EXTMED_SOURCE, EXT_BASIS, MEDADMIN_SOURCE, LAB_RESULT_SOURCE, PX_SOURCE, RX_SOURCE, VITAL_SOURCE, VX_SOURCE]|Data Completeness|Investigative|sql/checks/dc_3_03.sql
DC 3.04|Table IB|Less than 50% of patients with encounters have DIAGNOSIS records|Data Completeness|Required|sql/checks/dc_3_04.sql
DC 3.05|Table IB|Less than 50% of patients with encounters have PROCEDURES records|Data Completeness|Required|sql/checks/dc_3_05.sql
DC 3.06|Table IVE|More than 10% of IP (inpatient) or ED to inpatient (EI) encounters with any diagnosis from a known DX_ORIGIN don't have a principal diagnosis from that source|Data Completeness|Investigative|sql/checks/dc_3_06.sql
DC 3.07|Table IVF|Encounters, diagnoses, or procedures in an ambulatory (AV), telehealth (TH), emergency department (ED), ED to inpatient (EI), or inpatient (IP) setting are less than 75% complete two months prior to the current month. Data completeness is calculated by comparing actual volume to the average volume during the previous year|Data Completeness|Investigative|sql/checks/dc_3_07.sql
DC 3.08|Table IVH|Less than 80% of prescribing orders are mapped to a RXCUI which fully specifies the ingredient, strength and dose form (i.e. RXCUI codes that have a Term Type of SCD, SBD,BPCK, or GPCK)|Data Completeness|Investigative|sql/checks/dc_3_08.sql
DC 3.09|Table IVI|Less than 80% of laboratory results are mapped to LAB_LOINC and have either a quantitative result (RESULT_NUM is not null and RESULT_MODIFIER is not NI, UN, OT, or null) or a qualitative result (RESULT_QUAL is not NI, UN, OT, or null)|Data Completeness|Investigative|sql/checks/dc_3_09.sql
DC 3.10|Table IVI|Less than 80% of quantitative results for tests mapped to LAB_LOINC fully specify the normal range in the range and modifier fields|Data Completeness|Investigative|sql/checks/dc_3_10.sql
DC 3.11|Table IVG|Vital, prescribing, or laboratory records are less than 75% complete three months prior to the current month. Data completeness is calculated by comparing actual volume to the average volume during the previous year|Data Completeness|Investigative|sql/checks/dc_3_11.sql
DC 3.12|Table IVI|Less than 80% of quantitative results for tests mapped to LAB_LOINC fully specify the RESULT_UNIT (i.e. RESULT_NUM is not null and RESULT_UNIT is not NI, UN, OT, or null)|Data Completeness|Investigative|sql/checks/dc_3_12.sql
DC 3.14|Table IVJ|Medication administration, dispensing, or clinical observation records are less than 75% complete three months prior to the current month. Data completeness is calculated by comparing actual volume to the average volume during the previous year|Data Completeness|Investigative|sql/checks/dc_3_14.sql
DC 3.15|Table IVH|Less than 80% of medication administrations mapped to RXNORM are mapped to a RXCUI that fully specifies the ingredient, strength and dose form (i.e. RXCUI codes that have a Term Type of SCD, SBD,BPCK, or GPCK)|Data Completeness|Investigative|sql/checks/dc_3_15.sql
DC 3.16|Table IVI|Less than 80% of clinical observations are mapped to an OBSCLIN_CODE and have a quantitative result (OBSCLIN_RESULT_NUM is not null and OBSCLIN_RESULT_MODIFIER is not NI,UN,OT or null), qualitative result (OBSCLIN_RESULT_QUAL is not NI,UN,OT or null) or narrative result (OBSCLIN_RESULT_TEXT is not null)|Data Completeness|Investigative|sql/checks/dc_3_16.sql
DC 3.17|Table IVI|Less than 80% of quantitative results for tests mapped to OBSCLIN_CODE fully specify the RESULT_UNIT (i.e. OBSCLIN_RESULT_NUM is not null and OBSCLIN_RESULT_UNIT is not NI, UN, OT, or null)|Data Completeness|Investigative|sql/checks/dc_3_17.sql
DC 4.01|Table VA|More than a 5% decrease in the number of patients or records in a CDM table between the previous and current DataMart refresh|Data Persistence|Investigative|sql/checks/dc_4_01.sql
DC 4.02|Table VB|More than a 5% decrease in the number of patients or records for diagnosis, procedures, labs or prescriptions during an ambulatory (AV), telehealth (TH), other ambulatory (OA), emergency department (ED), or inpatient (IP) encounter between the previous and current DataMart refresh|Data Persistence|Investigative|sql/checks/dc_4_02.sql
DC 4.03|Table VC|More than a 5% decrease in the number of records or distinct codes for CPT/HCPCS, CVX, ICD10, LOINC, NDC, or RXNORM codes between the previous and current DataMart refresh|Data Persistence|Investigative|sql/checks/dc_4_03.sql
